Br *-Br
CCC *-C(-*)-C(-*)(-*)-C=*
CCC *-C(=*)-C(-*)-C(-*)-*
CCC *-C(-*)(-C)-C#*
CCC *-C(-*)-C(-*)-C#*
CCC *-C-C-C#*
CCC *=C-C-C=*
CCC *-C(-*)-C-C(-*)-*
CCC *=C(-C)-C#*
CCC *=C-C-C
CCC *-C-C(=*)-C=*
CCC *-C(-*)-C(-*)(-*)-C(-*)-*
CCC *-C(=*)-C-C(-*)=*
CCC *#C-C-C
CCC *-C(=*)-C(=*)-C(-*)-*
CCC *-C(-*)-C-C#*
CCC *-C(-*)(-*)-C(=*)-C
CCC *-C(-C=*)-C(-*)(-*)-*
CCC *-C(-C)-C#*
CCC *-C(=*)-C(=*)-C=*
CCC *-C-C(-*)(-*)-C#*
CCC *-C-C(-*)-C#*
Cc1ccccc1 *-C(=*)-c1:c:c:c:c:c:1
Cc1ccccc1 *-c1:c:c:c(-C=*):c(-*):c:1
Cc1ccccc1 *=C-c1:c:c:c:c:c:1
Cc1ccccc1 *-C-c1:c:c(-*):c:c(-*):c:1
Cc1ccccc1 *-C-c1:c:c:c:c:c:1
Cc1ccccc1 *-C(=*)-c1:c:c(-*):c:c:c:1-*
Cc1ccccc1 *-c1:c:c:c(-C):c:c:1
Cc1ccccc1 *-c1:c:c(-*):c(-C):c:c:1-*
Cc1ccccc1 *-C-c1:c:c:c:c:c:1-*
Cc1ccccc1 *-c1:c:c:c:c:c:1-C(-*)(-*)-*
Cc1ccccc1 *-C(-*)-c1:c:c:c:c:c:1
Cc1ccccc1 *-c1:c:c:c:c:c:1-C
Cc1ccccc1 *-C-c1:c:c(-*):c:c:c:1-*
Cc1ccccc1 *-c1:c:c:c:c(-C):c:1
Cc1ccccc1 *-C-c1:c:c:c(-*):c:c:1
Cc1ccccc1 *-C-c1:c:c:c:c(-*):c:1
Cc1ccccc1 *-c1:c:c:c(-C):c(-*):c:1
Cc1ccccc1 *-C-c1:c:c:c(:*):c(:*):c:1
Cc1ccccc1 *-c1:c:c(-*):c(-C(-*)-*):c:c:1-*
Cc1ccccc1 *:c1:c:c:c:c(-C):c:1:*
Cc1ccccc1 *-C(=*)-c1:c:c:c:c:c:1-*
Cc1ccccc1 *-c1:c:c(:*):c(:*):c:c:1-C
Cc1ccccc1 *-c1:c:c:c:c(-C):c:1-*
Cc1ccccc1 *-c1:c:c:c(-*):c(-C):c:1
Cc1ccccc1 *-c1:c:c:c(-C=*):c:c:1
Cc1ccccc1 *-c1:c:c:c(-C=*):c:c:1-*
Cc1ccccc1 *-c1:c:c:c(:*):c(:*):c:1-C
Cc1ccccc1 *-C-c1:c:c:c(-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c(-C):c:c:1-*
Cc1ccccc1 *#C-c1:c:c:c:c:c:1
Cc1ccccc1 *-c1:c:c:c:c:c:1-C(-*)-*
Cc1ccccc1 *-c1:c(-C(-*)-*):c:c:c(:*):c:1:*
Cc1ccccc1 *-c1:c:c:c:c(-C=*):c:1-*
Cc1ccccc1 *-c1:c:c:c:c:c:1-C=*
Cc1ccccc1 *-c1:c:c:c(-C(-*)-*):c(-*):c:1-*
Cc1ccccc1 *:c1:c:c:c(-C):c:c:1:*
Cc1ccccc1 *-C(=*)-c1:c:c:c(-*):c:c:1
Cc1ccccc1 *-c1:c:c:c(-C):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c(-*):c(-*):c(-C):c:1
Cc1ccccc1 *-c1:c:c:c(-C#*):c:c:1
Cc1ccccc1 *#C-c1:c:c:c(:*):c(:*):c:1
Cc1ccccc1 *-c1:c:c:c:c(-C=*):c:1
Cc1ccccc1 *-c1:c:c(-C):c:c(:*):c:1:*
Cc1ccccc1 *-C-c1:c:c(-*):c(-*):c:c:1-*
Cc1ccccc1 *-c1:c:c:c(-C(-*)-*):c:c:1
Cc1ccccc1 *-C(=*)-c1:c:c:c:c(-*):c:1
Cc1ccccc1 *-c1:c:c:c:c(-*):c:1-C
Cc1ccccc1 *-c1:c:c:c:c(-C#*):c:1
Cc1ccccc1 *-C(-*)(-*)-c1:c:c:c:c:c:1
Cc1ccccc1 *-C-c1:c:c:c:c(-*):c:1-*
Cc1ccccc1 *-C-c1:c:c:c(-*):c:c:1-*
Cc1ccccc1 *-C-c1:c(-*):c:c:c:c:1-*
Cc1ccccc1 *-C-c1:c:c:c(-*):c(-*):c:1
Cc1ccccc1 *-c1:c:c:c:c(-C(-*)-*):c:1-*
Cc1ccccc1 *-c1:c:c(-C):c:c(-*):c:1-*
Cc1ccccc1 *-C(=*)-c1:c:c(-*):c(-*):c:c:1-*
Cc1ccccc1 *-c1:c:c:c(-*):c(-C=*):c:1
Cc1ccccc1 *-c1:c:c(-C=*):c:c(-*):c:1-*
Cc1ccccc1 *-C(=*)-c1:c:c:c(-*):c(:*):c:1:*
Cc1ccccc1 *-c1:c:c(-C):c(:*):c(:*):c:1
Cc1ccccc1 *-C(=*)-c1:c:c:c(-*):c(-*):c:1
Cc1ccccc1 *-c1:c:c(-*):c(-C=*):c:c:1-*
Cc1ccccc1 *-c1:c:c:c(-C#*):c:c:1-*
Cc1ccccc1 *-C(=*)-c1:c:c:c:c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c:c(-C(-*)-*):c:1
Cc1ccccc1 *-C-c1:c(-*):c(-*):c:c(:*):c:1:*
Cc1ccccc1 *-c1:c:c:c(-C=*):c(-*):c:1-*
Cc1ccccc1 *-C(=*)-c1:c:c:c(:*):c(:*):c:1
Cc1ccccc1 *-c1:c:c:c:c:c:1-C#*
Cc1ccccc1 *-C-c1:c(-*):c:c:c(:*):c:1:*
Cc1ccccc1 *-c1:c(-C=*):c:c:c(:*):c:1:*
Cc1ccccc1 *-C-c1:c:c:c:c(:*):c:1:*
Cc1ccccc1 *-c1:c:c(:*):c(:*):c(-*):c:1-C=*
Cc1ccccc1 *-C(=*)-c1:c:c(-*):c(-*):c(-*):c:1
Cc1ccccc1 *-C-c1:c:c(-*):c(-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c(-C=*):c(:*):c:1:*
Cc1ccccc1 *-c1:c:c(-C):c(:*):c(:*):c:1-*
Cc1ccccc1 *-C(=*)-c1:c:c:c:c(:*):c:1:*
Cc1ccccc1 *-c1:c:c(:*):c(:*):c(-C):c:1-*
Cc1ccccc1 *-c1:c:c(-*):c(-C):c(-*):c:1
Cc1ccccc1 *-c1:c:c(-*):c:c(-C):c:1
Cc1ccccc1 *-C(-*)-c1:c:c:c(:*):c(:*):c:1
Cc1ccccc1 *-C-c1:c(-*):c(-*):c(-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c(:*):c(:*):c(-*):c:1-C
Cc1ccccc1 *-C-c1:c:c(-*):c:c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c(-*):c(-C):c:1-*
Cc1ccccc1 *:c1:c:c(-C):c(:*):c(:*):c:1:*
Cc1ccccc1 *-c1:c:c:c(:*):c(:*):c:1-C(-*)-*
Cc1ccccc1 *-c1:c:c(-*):c(-C=*):c(-*):c:1
Cc1ccccc1 *-c1:c:c:c(-*):c(-C(-*)-*):c:1
Cc1ccccc1 *-c1:c:c(-C):c(-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c(-C=*):c(-*):c(:*):c(:*):c:1-*
Cc1ccccc1 *-c1:c:c(-*):c:c(-C=*):c:1
Cc1ccccc1 *-c1:c:c:c(-C(-*)(-*)-*):c(-*):c:1
Cc1ccccc1 *-c1:c:c:c(-C):c(:*):c:1:*
Cc1ccccc1 *-c1:c:c:c(-C(-*)-*):c:c:1-*
Cc1ccccc1 *-c1:c:c(-*):c(-*):c(-C=*):c:1
Cc1ccccc1 *-c1:c:c:c(-*):c(-C#*):c:1
Cc1ccccc1 *-C(=*)-c1:c:c:c(-*):c:c:1-*
Cc1ccccc1 *-c1:c:c:c(-C(-*)-*):c(-*):c:1
Cc1ccccc1 *-c1:c:c(-*):c(-*):c(-C(-*)-*):c:1
Cc1ccccc1 *-C-c1:c:c(:*):c(:*):c:c:1-*
Cc1ccccc1 *-c1:c:c(-C):c(-*):c(:*):c:1:*
Cc1ccccc1 *-c1:c(-C):c:c:c(:*):c:1:*
Cc1ccccc1 *=C-c1:c:c:c:c(:*):c:1:*
Cc1ccccc1 *:c1:c:c(:*):c(:*):c(-C):c:1:*
Cc1ccccc1 *-c1:c:c(-C=*):c(-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c(-*):c(-C=*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c(-C(-*)-*):c:c(-*):c:1-*
Cc1ccccc1 *-C-c1:c:c:c(-*):c(:*):c:1:*
Cc1ccccc1 *-C-c1:c:c(-*):c(-*):c(-*):c:1
Cc1ccccc1 *-C-c1:c(-*):c:c:c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c(-*):c(-C=*):c:1-*
Cc1ccccc1 *-C-c1:c:c:c(:*):c(:*):c:1-*
Cc1ccccc1 *=C-c1:c:c:c(:*):c(:*):c:1
Cc1ccccc1 *-C-c1:c(-*):c:c(-*):c:c:1-*
Cc1ccccc1 *-C-c1:c:c(-*):c(:*):c(:*):c:1
Cc1ccccc1 *-c1:c:c(-C#*):c:c(-*):c:1-*
Cc1ccccc1 *-c1:c:c(-C#*):c(-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c(-C#*):c:c(:*):c:1:*
Cc1ccccc1 *-c1:c:c(-C#*):c(:*):c(:*):c:1
Cc1ccccc1 *-C-c1:c(-*):c:c(-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c(-*):c(-*):c(-C):c:1-*
Cc1ccccc1 *-c1:c:c:c(-C(-*)(-*)-*):c:c:1
Cc1ccccc1 *-C(=*)-c1:c:c(-*):c:c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c:c(-*):c:1-C(-*)-*
Cc1ccccc1 *-c1:c:c:c(-*):c(-C(-*)-*):c:1-*
Cc1ccccc1 *-c1:c:c(:*):c(:*):c:c:1-C(-*)-*
Cc1ccccc1 *-c1:c:c(-C(-*)-*):c(-*):c(-*):c:1-*
Cc1ccccc1 *-C(=*)-c1:c(-*):c:c:c:c:1-*
Cc1ccccc1 *-C(=*)-c1:c:c(-*):c:c(-*):c:1
Cc1ccccc1 *-C-c1:c(-*):c(-*):c:c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c(-C#*):c(-*):c:1
Cc1ccccc1 *-C(-*)-c1:c:c:c:c(:*):c:1:*
Cc1ccccc1 *-c1:c:c(-*):c:c(-C#*):c:1
NC=O *-C(=O)-N=*
NC=O *-C(-N)=O
NC=O *-N-C(-*)=O
NC=O *-C(=O)-N(-*)-*
ccn *-c(:*):c(-*):n:*
ccn *-c(:*):c(:*):n:*
ccn *-n(:*):c(=*):c(:*):*
ccn *-c(:c:*):n:*
ccn *:c:c:n(:*):*
ccn *:c:c:n:*
ccn *-c(:c:*):n(:*):*
ccn *-c(:*):c:n:*
ccn *=c(:*):c(=*):n(:*):*
ccn *-c(:n:*):c(:*):*
ccn *-c(:*):c(-*):n(-*):*
ccn *-c(:*):c(-*):n(:*):*
ccn *:n:c(:*):c(:*):*
ccn *-c(:*):c:n(:*):*
ccn *:c(:*):c(:*):n(:*):*
ccn *:n:c:c(:*):*
ccn *-c(:*):c(:*):n(-*):*
ccn *:c:c(:*):n:*
ccn *-c(:*):c:n(-*):*
ccn *-n(:*):c(=*):c:*
ccn *-c(:*):c(=*):n(-*):*
ccn *-c(:c:*):n(-*):*
ccn *-n(:*):c:c:*
ccn *:c:c(:*):n(:*):*
ccn *-n(:*):c(=*):c(=*):*
ccn *-c(:*):c(=*):n(:*):*
ccn *:c(:*):c:n(:*):*
ccn *-n(:*):c(:*):c:*
ccn *-n(:*):c:c(:*):*
ccn *=c(:c:*):n:*
ccn *-c(:n:*):c(=*):*
ccn *=c(:c(:*):*):n(:*):*
ccn *-c(:*):c(:*):n(:*):*
ccn *-c(:c(:*):*):n(-*):*
ccn *-c(:*):c(=*):n:*
ccn *-c(:c(:*):*):n(:*):*
ccn *=c(:*):c(:*):n:*
ccn *=c(:c:*):n(:*):*
CO *-O-C
CO *-C-O
CO *-C-O-*
CO *-C(=*)-O
CO *-O-C(-*)=*
CO *-O-C=*
CO *-O-C(-*)-*
CO *-C(-*)-O
CO *-C(-*)(-*)-O
CO *-O-C(-*)(-*)-*
CC(N)=O *-N-C(-C)=O
CC(N)=O *-N(-*)-C(-C)=O
CC(N)=O *-C-C(=O)-N-*
CC(N)=O *-N-C(=O)-C(-*)-*
CC(N)=O *-C(-*)-C(-N)=O
CC(N)=O *-C-C(-N)=O
CC(N)=O *-C(=*)-C(-N)=O
CC(N)=O *-N-C(=O)-C(-*)(-*)-*
CC(N)=O *-N-C(=O)-C(-*)=*
CC(N)=O *=N-C(-C)=O
CC(N)=O *-C(=*)-C(=O)-N(-*)-*
CC(N)=O *-C(-*)-C(=O)-N=*
CC(N)=O *-N-C(=O)-C#*
CC(N)=O *-C(-*)(-*)-C(-N)=O
CC(N)=O *-C-C(=O)-N=*
CC(N)=O *-C-C(=O)-N(-*)-*
CC(N)=O *-C(-*)-C(=O)-N(-*)-*
CC(N)=O *-N(-*)-C(=O)-C#*
CC(N)=O *-C(-*)(-*)-C(=O)-N=*
CC(N)=O *-N(-*)-C(=O)-C(-*)(-*)-*
CCNC=O *-C(=O)-N(-*)-C(-*)-C=*
CCNC=O *-C-C(-*)-N(-*)-C(-*)=O
CCNC=O *-C-C(-*)-N-C(-*)=O
CCNC=O *-C(=O)-N-C-C(-*)-*
CCNC=O *-C-C-N(-*)-C(-*)=O
CCNC=O *-C-C-N-C(-*)=O
CCNC=O *-C(=O)-N(-*)-C-C
CCNC=O *-C(=O)-N-C(-*)-C
CCNC=O *-C(=O)-N(-*)-C(-*)(-*)-C
CCNC=O *-C(=O)-N(-*)-C(-*)-C
CCNC=O *-C(=*)-C(-*)-N-C(-*)=O
CCNC=O *-C(=O)-N-C(-*)-C=*
CCNC=O *-C(=O)-N-C-C
CCNC=O *-C(=O)-N(-*)-C-C=*
CCNC=O *-C(=O)-N-C(-*)(-*)-C
CCNC=O *-C(=O)-N-C(-*)-C(-*)-*
CCNC=O *-C-C(-*)(-*)-N(-*)-C(-*)=O
CCNC=O *-C(=O)-N-C-C(-*)(-*)-*
CCNC=O *-C-C(-*)(-*)-N-C(-*)=O
CCNC=O *-C(=O)-N-C(-*)(-*)-C=*
CCNC=O *-C(=O)-N-C(=*)-C
CCNC=O *-C(=O)-N-C(-*)(-*)-C(-*)(-*)-*
CCNC=O *-C(=O)-N-C(-*)-C(-*)(-*)-*
CCNC=O *-C(=O)-N(-*)-C(-*)-C(-*)-*
CCNC=O *-C(=O)-N(-*)-C(-*)(-*)-C#*
CCNC=O *-C(=O)-N-C(-*)(-*)-C#*
CCNC=O *-C(=O)-N(-*)-C-C(-*)-*
CCNC=O *-C(=O)-N(-*)-C(-*)-C#*
CCNC=O *-C(=O)-N-C-C#*
CCNC=O *-C(=O)-N-C-C=*
CCNC=O *-C(=O)-N(-*)-C(-*)-C(-*)(-*)-*
CCNC=O *-C(=*)-C(-*)-N(-*)-C(-*)=O
CCNC=O *-C(=O)-N-C(=*)-C(-*)-*
CCNC=O *-C(=O)-N-C(-*)-C#*
CCNC=O *-C(=O)-N(-*)-C(=*)-C
CCNC=O *-C(=O)-N(-*)-C-C(-*)(-*)-*
CCNC=O *-C(=O)-N-C(=*)-C=*
CCNC=O *-C-C(=*)-N-C(-*)=O
CCNC=O *-C(=O)-N(-*)-C(-*)(-*)-C(-*)-*
CCNC=O *-C(=O)-N(-*)-C-C#*
CCNC=O *-C(=*)-C-N(-*)-C(-*)=O
CCNC=O *-C(=*)-C(=*)-N-C(-*)=O
CCNC=O *-C(=*)-C-N-C(-*)=O
CCO *-O-C(-*)-C
CCO *-C-C(-*)-O-*
CCO *-C-C(-*)(-*)-O-*
CCO *-C-C-O-*
CCO *-C(-*)-C-O
CCO *-C(=*)-C-O
CCO *-O-C-C
CCO *-O-C-C(-*)=*
CCO *-C(-O)-C=*
CCO *-C-C(-*)(-*)-O
CCO *-O-C-C(-*)-*
CCO *-C(-*)(-C)-O
CCO *-C-C-O
CCO *-C(-C)-O
CCO *-O-C(-*)(-*)-C(-*)(-*)-*
CCO *-C-C(-*)-O
CCO *-O-C(-*)(-*)-C
CCO *-C-C(=*)-O
CCO *-O-C(-*)-C(-*)-*
CCO *-C(-O)-C(-*)(-*)-*
CCO *-O-C-C=*
CCO *-O-C(=*)-C
CCO *-O-C(-*)-C(-*)(-*)-*
CCO *-O-C(=*)-C=*
CCO *-O-C(-*)-C=*
CCO *-C(-O)-C#*
CCO *-C(-*)(-O)-C#*
CCO *=C(-C)-O
CCO *-C(-*)-C(-*)(-*)-O
CCO *-C(-*)(-O)-C=*
CCO *-C(-*)-C(-*)-O
CCO *-C(-*)(-*)-C(-*)(-*)-O
CCO *-O-C-C(-*)(-*)-*
CCO *-C(-*)-C(=*)-O
CCO *-O-C(=*)-C(-*)-*
CCO *-O-C-C#*
CCO *=C-C-O
CCO *#C-C-O
CCO *-O-C(-*)(-*)-C#*
CCO *=C-C(=*)-O
CCO *-O-C(-*)(-*)-C(-*)-*
CCO *-C(=*)-C(-*)-O
CCO *-O-C(-*)(-*)-C=*
CCO *-C(-*)(-*)-C-O
CCO *-C(=*)-C(-*)(-*)-O
CCO *-O-C(-*)-C#*
CCO *-C(=*)-C(=*)-O
CCO *-O-C(-*)-C(-*)=*
CCO *-C-C(=*)-O-*
CCO *-O-C(=*)-C(-*)=*
CCO *-O-C(=*)-C(-*)(-*)-*
O=S *-S(-*)=O
O=S *-S(-*)(=*)=O
O=S *=S=O
cccn *:c:c:c:n:*
cccn *-c(:*):c(:*):c(:*):n(-*):*
cccn *-c(:*):c(:*):c(-*):n:*
cccn *-c(:*):c(-*):c(-*):n:*
cccn *:c:c:c(:*):n:*
cccn *-c(:c:n:*):c(:*):*
cccn *-c(:*):c:c(-*):n(:*):*
cccn *-c(:c:*):c(-*):n:*
cccn *:c(:*):c:c:n(:*):*
cccn *:c(:*):c(:*):c:n(:*):*
cccn *-c(:*):c:c(=*):n(:*):*
cccn *-c(:*):c(-*):c(=*):n(:*):*
cccn *-c(:c:c(:*):*):n:*
cccn *-c(:*):c(-*):c(:*):n:*
cccn *-c(:*):c(:*):c(:*):n:*
cccn *-n(:*):c(:*):c:c:*
cccn *-c(:c:c:*):n:*
cccn *-n(:*):c(=*):c(:*):c:*
cccn *-c(:c:*):c(=*):n(:*):*
cccn *-c(:n:*):c(:*):c:*
cccn *-c(:*):c(:*):c:n:*
cccn *-c(:c:*):c(:*):n:*
cccn *-c(:c(-*):n(-*):*):c(:*):*
cccn *-n(:*):c(=*):c(:*):c(:*):*
cccn *:n:c(:*):c(:*):c(:*):*
cccn *-c(:*):c(-*):c:n:*
cccn *-c(:*):c:c(=*):n:*
cccn *-c(:*):c(:*):c(=*):n(-*):*
cccn *-c(:*):c(-*):c(=*):n(-*):*
